,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 17,AYUDANTÍA OBLIGATORIA 09,MI 13:00 - 14:20,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC17,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 17,CÁTEDRA 09,LU JU 13:00 - 14:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC17,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 18,AYUDANTÍA OBLIGATORIA 09,MI 13:00 - 14:20,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC18,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 18,CÁTEDRA 09,LU JU 13:00 - 14:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC18,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 18,LABORATORIO 18,MA 13:00 - 14:20,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC18,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 19,LABORATORIO 19,VI 11:30 - 12:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC19,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 19,CÁTEDRA 10,MA JU 11:30 - 12:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC19,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 19,AYUDANTÍA OBLIGATORIA 10,LU 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC19,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 2,LABORATORIO 02,LU 08:30 - 09:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC02,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 2,AYUDANTÍA OBLIGATORIA 01,MI 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC02,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 2,CÁTEDRA 01,MA JU 08:30 - 09:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC02,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 20,LABORATORIO 20,VI 11:30 - 12:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC20,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 20,CÁTEDRA 10,MA JU 11:30 - 12:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC20,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 20,AYUDANTÍA OBLIGATORIA 10,LU 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC20,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 21,LABORATORIO 21,MA 11:30 - 12:50,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC21,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 21,CÁTEDRA 11,LU JU 11:30 - 12:50,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC21,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 21,AYUDANTÍA OBLIGATORIA 11,VI 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC21,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 22,LABORATORIO 22,MA 11:30 - 12:50,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC22,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 22,AYUDANTÍA OBLIGATORIA 11,VI 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC22,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 22,CÁTEDRA 11,LU JU 11:30 - 12:50,OLIVARES MARCO ANDRES,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC22,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 23,LABORATORIO 23,LU 11:30 - 12:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC23,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 23,AYUDANTÍA OBLIGATORIA 12,VI 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC23,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 23,CÁTEDRA 12,MA JU 11:30 - 12:50,LEON ALEJANDRA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC23,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 24,LABORATORIO 24,LU 11:30 - 12:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC24,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 24,AYUDANTÍA OBLIGATORIA 12,VI 11:30 - 12:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC24,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 24,CÁTEDRA 12,MA JU 11:30 - 12:50,LEON ALEJANDRA,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC24,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 25,AYUDANTÍA OBLIGATORIA 13,MI 17:25 - 18:45,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC25,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 25,LABORATORIO 25,MA 17:25 - 18:45,MIRANDA MARIO ERNESTO BRAYAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC25,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 25,CÁTEDRA 13,LU JU 17:25 - 18:45,MIRANDA MARIO ERNESTO BRAYAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC25,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 26,AYUDANTÍA OBLIGATORIA 13,MI 17:25 - 18:45,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC26,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 26,LABORATORIO 26,MA 17:25 - 18:45,MIRANDA MARIO ERNESTO BRAYAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC26,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 26,CÁTEDRA 13,LU JU 17:25 - 18:45,MIRANDA MARIO ERNESTO BRAYAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC26,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 3,LABORATORIO 03,MA 08:30 - 09:50,BARTOLO LEONARDO MAURICIO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC03,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 3,CÁTEDRA 02,LU JU 08:30 - 09:50,BARTOLO LEONARDO MAURICIO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC03,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 3,AYUDANTÍA OBLIGATORIA 02,VI 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC03,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 4,AYUDANTÍA OBLIGATORIA 02,VI 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC04,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 4,LABORATORIO 04,MA 08:30 - 09:50,BARTOLO LEONARDO MAURICIO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC04,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 4,CÁTEDRA 02,LU JU 08:30 - 09:50,BARTOLO LEONARDO MAURICIO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC04,
